ID,NOME,D.INSCRIÇÃO,D.APROVAÇÃO,VALIDA.INSCRIÇÃO,VALIDA.APROVAÇÃO
"1","Afonso João Medeiros Vieira","49-07-2099","37-22-2168","False","False"
"2","Alexandre Silva Resendes","01-10-1880","43-16-1956","False","False"
"3","Álvaro Daniel Arruda Silva","08-06-2135","08-14-1937","False","False"
"4","André Dias Carvalho","59-04-2155","04-13-1957","False","False"
"5","André Filipe Custódio Massa","27-14-2106","07-04-1908","False","True"
"6","André Mota Arruda","43-14-2198","32-13-2149","False","False"
"7","André Silva Ferreira","13-18-2070","06-07-2064","False","False"
"8","Daniel Oliveira Pimentel","10-07-1913","44-14-2144","True","False"
"9","Daniel Sousa Machado","05-11-1816","57-16-2138","False","False"
"10","David Tavares Vasconcelos","56-09-2072","38-02-2112","False","False"
"11","Diogo Filipe Soares Silva","02-01-2035","39-22-2068","False","False"
"12","Eusébio Correia Gonzaga","08-01-2184","02-18-1912","False","False"
"13","Fernando Luís M. da Fonseca Hintze Mota","05-18-1800","53-02-1975","False","False"
"14","Francisco Araújo do Rego","49-00-1820","02-15-1911","False","False"
"15","Francisco Sousa Melo","08-04-2007","59-04-2162","True","False"
"16","Francisco Tavares Furtado","37-13-1904","22-06-2180","False","False"
"17","Gonçalo Miguel Pedro Moniz","29-20-1830","25-08-2029","False","False"
"18","Gonçalo Oliveira Lizandro","00-02-1910","57-18-1951","False","False"
"19","Henrique da Silva Pereira","54-18-1908","23-21-1928","False","False"
"20","Henrique Pereira Lourenço","06-10-2026","51-00-1884","False","False"
"21","Bruno Pacheco Tavares","08-08-2117","20-18-2178","False","False"
"22","Carlos Filipe Amaral Pereira","37-18-1860","47-01-1922","False","False"
"23","Diogo Filipe Medeiros Mendonça","05-13-2122","00-03-1896","False","False"
"24","Diogo Henrique Pereira Carreira","42-01-2039","12-10-2038","False","False"
"25","Diogo Miguel Barbosa Freitas","55-16-1903","47-20-1968","False","False"
"26","Edgar Medeiros Pereira","41-07-2049","50-18-2004","False","False"
"27","Francisco Medeiros Botelho","28-04-1836","03-22-2041","False","False"
"28","Gonçalo Rodrigues Sousa Cunha","56-15-2046","14-05-2185","False","False"
"29","Henrique Viveiros Costa","20-22-1888","55-12-1956","False","False"
"30","João Pedro Pavão Almeida","12-08-1845","45-10-1811","False","False"
"31","Leandro Melo Pacheco","47-17-2102","36-21-2068","False","False"
"32","Luís Filipe Pereira Raposo","06-11-1990","26-04-1869","True","False"
"33","Maurício Filipe Simas de Sousa","44-16-2061","27-08-2118","False","False"
"34","Messias Tavares Rodrigues","45-18-1977","58-07-1827","False","False"
"35","Roberto Pereira Araújo","27-11-2190","15-11-1947","False","True"
"36","Rúben Filipe Pavão Vicente","18-15-2164","28-21-2066","False","False"
"37","Sérgio Filipe Oliveira Raposo","34-12-2020","44-16-1956","False","False"
"38","Silvano António Sá Almeida","41-00-2168","15-02-1915","False","True"
"39","Francisco Pacheco Botelho Pereira","37-06-2073","01-20-1840","False","False"
"40","Frederico Brasil Costa","13-06-2108","42-22-2084","False","False"
"41","Hugo Flores Amarante","41-08-1894","59-03-2040","False","False"
"42","João António Tavares Araújo","13-07-2111","32-00-2198","False","False"
"43","João Gonçalves de Loura","29-06-2185","03-09-2157","False","False"
"44","João Pedro Raposo Pacheco","06-13-1856","26-10-1843","False","False"
"45","João Pedro Tavares Moniz","51-07-2193","55-01-2139","False","False"
"46","João Vítor Raposo de Fraga","18-22-2035","58-09-1845","False","False"
"47","Mafalda Medeiros Pavão","14-07-1905","42-09-2185","True","False"
"48","Marcelo Alexandre Flora Benevides","24-18-1834","20-07-1983","False","True"
"49","Marco André Peixoto Bolarinho","23-17-2149","02-06-2175","False","False"
"50","Mateus Botelho Corrente","37-19-2112","53-22-2200","False","False"
"51","Miguel Pacheco Aguiar Pinheiro Soares","18-16-2028","23-17-1824","False","False"
